District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Frontline_Workers,Industrial_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,190899,38165,123837,105227,641290,34680,56759,7946,129679,15828,83071,762,5256,158438,23226,60616,101642,99947,74948,39709,21751,6402,600759,178435,89679,1481
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,162578,52288,132003,82863,538879,55299,36630,29102,93835,15118,90190,1999,5892,160649,27190,68336,80862,83141,66459,41367,27950,6857,503223,160933,88978,611
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,62834,30936,53265,21814,57125,17954,58408,20869,1645,1020,51545,13645,17250,574,2150,36920,17474,10452,15181,17900,16265,8923,6197,575,70703,41515,21019,250
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,39839,12034,28941,22932,88929,8266,3763,1222,38622,3285,15824,235,1005,40370,7774,12732,19083,20874,16938,9826,3077,408,87532,35561,17488,221
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,117677,43716,73247,88146,315442,54264,31583,3930,71616,13160,62900,346,3342,132139,15269,55762,72024,69219,46062,29517,13962,1884,304979,109818,61334,704
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,184752,106160,130377,160535,351503,136527,24016,4656,125713,23946,96012,673,6219,196070,17508,70996,91859,108785,65921,35804,18576,3036,404903,153165,83319,1028
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,161548,38883,142847,57584,416004,69533,21566,3952,105380,32772,109422,1443,6112,181374,33473,69396,82715,106411,91522,47694,24330,4504,357864,160123,97684,764
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,249581,54619,187959,116241,703839,57495,62246,15084,169375,33022,138180,3698,10645,210543,48932,76778,117000,137510,107837,57932,48285,9708,636524,239659,130513,1343
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,101380,47937,75173,74144,242915,28232,32882,20484,67719,8868,45469,985,3155,80521,17555,34064,47240,48849,35630,18644,12721,2268,252378,90465,48802,587
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,333151,74037,330547,76641,829641,12228,10408,20095,364457,138119,165403,16413,33831,4518,257721,88911,173309,178723,176409,132727,121856,32114,693238,351561,190330,1700
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,90581,52695,73305,27585,52949,47941,196556,15337,19312,7630,58611,10410,38487,878,2779,63788,13558,25817,38735,38375,28247,15005,9633,2212,194165,66945,35911,425
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,178326,115632,138428,49992,98306,90114,372020,49746,34080,10615,93979,16828,73629,1537,5293,147520,21703,36201,54808,73991,67368,40931,31286,5897,342601,137032,80111,696
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,80355,56145,63931,23790,54703,33018,178494,47424,10835,3395,26067,3727,35282,884,3440,75616,5272,26468,29593,36939,28617,16501,10782,2010,170086,60752,35158,219
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,324417,221115,244032,145652,176800,212884,689008,140957,76364,16322,156041,28984,114899,2712,8612,207067,70666,73719,99059,129174,97121,52407,41570,9160,704145,239988,133519,1040
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,125052,84033,102317,57673,77812,82178,264493,69173,29928,6193,54696,4301,47913,838,3542,95952,25178,36066,47268,60470,45383,24214,18240,3190,266858,99870,57253,502
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,101144,50768,79377,72535,258024,69947,12199,1932,67834,7963,61831,596,3077,122267,11350,43794,47350,62719,48359,31416,12647,1846,263576,93189,52744,427
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,68476,18736,52051,35161,196501,41394,8810,2538,34470,3982,34243,417,2644,84281,5341,33971,35284,35115,22591,13331,4923,1498,188526,61604,33220,363
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,56779,26195,44718,38256,147722,39271,16296,1186,26221,4118,24067,274,1651,72378,5993,25022,25675,27745,19550,14521,5438,2529,145931,53415,31084,266
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,163845,79827,152442,91230,311313,113020,11396,2641,116615,20008,73999,1214,5744,148664,34696,58567,80129,86008,55024,29657,17345,4030,339145,140785,74757,298
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,88755,56012,88462,56305,169900,96147,4009,534,44077,6552,31588,602,2849,95572,12261,33411,40215,36184,24066,14064,4733,575,203967,70767,39743,190
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,417456,91166,410344,98278,1021336,68613,36873,10589,392547,197168,294739,19905,46657,254566,248043,135391,185962,253542,261852,159257,146501,30616,816827,435895,275585,1651
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,81952,10574,74129,18397,226372,16894,6105,1520,68007,34063,61159,992,4465,94247,19989,29138,41233,59931,61407,30503,14055,2600,177277,88246,53022,353
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,158791,135244,119632,174403,225045,196665,9193,4521,83656,21458,96082,1615,5117,186395,13836,56272,96789,67653,64515,40440,15506,3252,306555,130606,81566,353
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,403756,271414,313915,361255,834905,303007,54849,15662,301652,148361,330081,8053,22753,588321,39007,127699,243617,223099,284124,192936,91236,13577,766581,419172,319420,4902
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,10763,8532,15190,4105,12269,11227,572,167,7329,2046,5618,61,252,17434,0,3776,5042,4011,3934,3557,2378,119,15928,9181,6200,255
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,148829,120255,193876,75208,168819,197141,12372,2707,56864,40064,91322,2623,7010,167995,20709,48384,77363,61854,58122,39081,23168,2377,244727,120510,72282,384
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,297464,275207,284154,288517,427106,387944,15822,7134,161771,59324,214491,5333,16401,431129,31696,100052,159043,132147,180188,128549,54139,9350,524285,279321,194661,1510
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,118724,123207,126153,115778,212837,147103,8824,3347,82657,34978,104120,2521,7525,196116,15232,37327,71107,72114,91184,64363,35620,5263,224044,123941,106641,142
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,213281,186434,141612,73734,134482,80864,305827,84800,19604,3427,107515,43809,105929,2412,8238,185091,20126,51838,87913,81256,105204,60626,32120,5511,273223,142351,105358,241
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,111543,94328,103406,102465,176085,127169,4138,2561,72003,17262,79146,1574,6281,152458,11987,35817,59489,53515,64730,45695,25474,3241,193671,107367,80497,421
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,190001,108736,219235,79502,281583,141267,10283,4969,142218,53722,119866,5250,14478,192787,51509,50331,89407,83992,95232,59363,36803,8280,321533,167168,90808,811
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,169399,110684,193906,86177,249772,182958,10730,5313,81082,28904,91509,2220,8593,171102,21054,57853,100123,78103,67080,38282,23352,4048,310244,136839,82471,301
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,258628,172298,311770,119156,383084,249786,26114,7967,147059,108888,172754,9177,24127,279269,95896,69967,113536,113305,141490,95341,80414,9748,425721,241956,145577,756
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,33863,22410,46782,9491,27848,32995,2537,944,19797,10740,17865,354,2563,44514,0,9400,13749,11437,11140,7871,5118,713,42360,26599,15075,87
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,637652,119486,625778,131360,1541185,147912,100684,30903,477639,244468,411216,14428,38445,420860,185488,180897,315156,290618,372317,243539,104345,22107,1261421,611353,423301,2248
36,PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,235562,48603,248208,35957,531003,55252,42387,9861,176665,110555,161206,9732,23145,165433,95770,71698,127031,112774,128828,77442,48221,9501,433331,222324,157833,1680
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,639484,134988,689592,84880,1419118,85695,66664,29762,592351,299449,446200,39082,79134,330339,377791,183441,333736,304652,339758,216646,162965,34576,1159156,616431,416449,1554
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,412506,87316,411011,88811,1086803,89772,74362,15990,319698,201675,319930,13747,34328,422673,128592,143871,256127,238975,301435,176013,93618,17427,831741,422782,330671,1431
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,170252,34077,173507,30822,407981,42608,22626,9011,130084,64934,125068,5264,13936,183168,48383,53709,111242,94286,101970,61643,26893,5703,318597,163305,128310,2098
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,182777,32006,192845,21938,385380,44245,21389,8048,141101,64037,113683,5138,14294,117559,57337,51897,102257,83931,95073,59555,34990,4607,321018,166781,111028,1336
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1053600,231222,1138654,146168,2213917,140737,98646,71667,973772,488757,703624,58589,123400,395032,641789,277247,488129,443759,527568,318876,272280,44240,1901528,980046,614258,2907
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,292379,66793,304880,54292,636574,91622,82397,18098,167055,89445,183396,7897,21662,214295,74144,98764,158812,116716,128693,85642,37417,11956,535408,258826,194768,6744
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,596406,160289,618362,138333,1272379,191685,227971,14679,322360,141899,349662,10042,31070,348522,153868,196971,306838,226433,221806,147698,82448,25734,1171770,525459,331259,586
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,272699,62627,287205,48121,566570,86565,111014,5187,132560,76441,166585,4571,14077,149507,74650,90240,137470,101852,104682,62612,36905,10666,495167,242628,162297,1804
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,185049,36506,190415,31140,395953,53230,54058,8225,106042,62103,113549,4348,12276,99946,58917,53734,89433,71178,75419,48360,29838,5790,336540,164962,113721,2285
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,432988,116998,452678,97308,838539,141535,128382,14938,265131,118427,255650,11284,32253,218159,137563,117795,182796,145626,163928,96329,70240,16666,754927,377707,255283,608
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,230739,97773,247175,81337,441239,105963,90367,13442,118740,39414,140099,2673,10085,145603,50786,75708,106162,84553,85953,48663,27461,5658,420050,200882,146103,2716
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,549661,110606,570391,89876,1235419,113182,89123,23647,434315,209192,352929,24274,55105,299279,218090,173890,283837,239609,256826,157435,141947,27272,1042519,517079,335100,988
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,735195,182661,787254,130602,1572800,124617,121599,41642,629998,279993,461231,29961,63864,275477,385476,197944,313874,283819,328229,203656,142399,15879,1384987,667193,436496,1980
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,313639,67063,316310,64392,738925,115853,81216,21328,162305,73958,186599,4300,13102,222717,44457,106878,165659,118366,147856,83290,21322,5077,641875,283645,190898,3209
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,186910,46766,194209,39467,450951,45640,21520,12321,154195,67749,129123,6600,17542,148162,60537,53005,107715,98135,116836,68794,38823,9388,365300,185424,131707,2196
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,283367,72628,316236,39759,638633,40867,21791,13501,279836,131701,191578,25944,50857,117293,174042,82178,131983,119930,147214,96568,105306,13103,540872,281462,171656,638
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,485129,83629,499792,68966,1086411,157191,91799,18578,301190,135280,305557,10736,30955,292156,156788,163251,250833,197901,220210,130155,73636,18393,904316,435148,311621,4084
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,178163,31168,186434,22897,386196,60340,40460,5132,103399,50276,108908,3501,10566,102577,54222,49367,90971,66695,81545,43467,23657,4665,322607,158413,114077,430
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,328159,75977,385929,18207,651314,2578,1687,4799,395072,168344,231204,44283,78113,8911,289456,80406,118667,114209,124707,98786,174528,20188,602411,303748,148945,346
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,84265,73011,128367,28909,172810,117264,4387,3122,32503,21374,52621,602,4104,112148,9061,43442,46625,47640,30901,24989,18882,981,202426,75997,51245,418
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,93832,87108,115115,65825,210665,121157,3845,5384,50554,27853,71524,899,5582,163434,22906,47447,68435,67519,47703,32557,27168,2367,229715,93182,67873,835
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,52339,60693,78950,34082,129253,83155,3200,2112,24565,19859,49182,418,3082,112705,4454,30562,50288,44605,28916,21131,15096,440,141848,54979,44986,472
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,140821,139621,165912,114530,338489,187121,8129,4021,81171,50929,117239,1366,7831,227059,27177,72163,103462,95417,74008,58434,30704,2073,368324,139371,109998,1238
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,458834,123934,488161,94607,1113926,77176,38195,22992,444405,233705,310726,25862,71199,228245,269393,142130,236027,240639,206730,187700,247622,26644,968517,446046,276280,5851
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,147373,126779,164439,109713,413119,150607,13715,5635,104195,70551,143963,2633,12670,279682,36780,91101,107794,111671,95590,74219,52076,5638,380765,160183,145445,878
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,113539,102951,145481,71009,266949,137332,5432,6055,67671,45365,95421,1344,7932,183687,26256,63591,87585,90983,56591,42086,28375,2237,273494,116749,92517,679
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,58708,64930,78085,45553,136260,85125,8985,2991,26537,13352,47083,435,3595,96031,3880,38113,47788,50340,31224,20785,10900,675,147488,60569,51672,169
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,142460,155751,201078,97133,324295,207617,10274,4312,76008,40199,109876,1830,9858,260056,21082,90864,120029,115810,76148,53026,37742,2263,351595,141238,128994,679
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,60427,39139,62698,36868,160082,59993,4032,1570,33971,18785,37725,548,3159,85202,12839,36127,48093,45766,23610,18360,15110,1317,156916,60722,41913,97
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,256935,119246,296424,79757,578424,137530,34742,9767,194142,99021,169001,7265,26270,193086,105577,90915,155681,157875,115317,98851,89101,6200,562548,243095,147053,1909
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,444578,146880,450762,140696,1057444,122686,165250,26396,277126,116576,254802,7883,28053,269406,145253,179602,302653,232381,169274,113661,111062,11786,1042614,392370,212223,1695
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,497810,80311,495152,82969,1312301,93660,103115,19955,361391,125717,279012,11947,35023,301828,186183,245515,336790,243719,165003,114114,134182,29377,1207120,435385,246229,1688
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,164865,46614,182831,28648,349814,26682,12827,9870,162100,69687,103455,18615,32174,70895,93656,45607,73584,60177,69163,48306,83256,8466,309078,157076,93606,1533
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,320120,52019,319475,52664,756211,52871,57293,15753,246222,121622,199681,12899,32767,175365,139891,89558,170110,161844,163544,97980,91472,18727,617859,308126,201685,680
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,342343,46890,339024,50209,824972,61516,73251,12287,242179,109080,217503,8079,25129,214464,143259,107222,194654,164652,159311,99170,82532,18666,694813,317708,201386,298
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,268556,68224,285904,50876,627875,68908,85890,6726,175256,90150,171908,7356,21951,203553,88268,94530,145392,118107,120790,81964,71007,10999,552034,250830,160216,1575
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,292696,81203,290663,83236,700405,128016,85651,9450,150782,62668,187349,3724,15301,231091,75696,119345,158239,124682,117753,82297,51043,9111,630194,265813,176320,1977
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,411646,104416,411533,104529,989262,112288,133723,15311,254740,143133,267223,11163,29253,292682,135920,155839,231354,188040,183590,124790,101387,19186,884972,380409,234684,5259
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,328667,83651,339016,73302,793119,72120,62358,15824,262016,121846,209965,10024,26719,173502,153804,118873,170565,143466,141473,91756,75774,10977,739075,298764,167244,354
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,391085,132094,396763,126416,926822,142344,101733,18184,260918,126009,253054,9029,30697,283858,133576,138489,200458,182396,224639,150760,101186,19261,855201,360216,233318,1266
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,368277,155145,385851,137571,810730,230387,102071,9114,181850,78386,222462,5263,23750,278335,89665,136892,185626,151682,154773,107994,64599,14277,784085,335704,213478,885
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,263498,105585,286258,82825,572928,132250,97997,6558,132278,51693,153301,3210,13142,203020,55360,103541,136663,99948,93526,61476,37741,9504,555745,237009,147469,1788
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,369462,132541,399169,102834,793186,164297,147042,11952,178712,70538,215527,6287,22706,245476,93316,141766,201349,153263,134559,83373,61620,16698,750228,334344,208185,2432
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,488321,203300,531227,160394,1052310,261120,144213,16097,270191,110495,285004,10132,33400,302013,154113,197303,230074,194595,202792,144626,105346,19031,1017830,456536,265109,4456
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,430678,192328,445675,177331,1011439,288543,103788,14855,215820,88938,266244,5292,25236,357047,99235,186145,223049,198307,218631,148995,104875,13786,964960,405760,261428,2297
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,272646,73321,288949,57018,715237,95732,36568,8521,205146,94633,193120,8482,27225,175203,131739,117097,150903,140782,168499,109596,100346,21134,605741,269354,185685,424
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,250020,76514,246457,80077,631871,112389,44845,9254,160046,70149,168558,5034,19241,211816,78328,90737,109829,115794,145258,97457,58826,9387,549975,245095,162356,979
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,232935,105649,212402,126182,583504,149146,38320,7639,143479,45359,135455,2624,13908,223726,44216,94273,135849,126291,132765,94245,60296,10353,530000,229392,161258,1438
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,235326,102401,250219,87508,562605,102698,28215,9782,197032,62667,152651,5121,18092,199449,69305,81280,120860,122617,139646,95807,65143,9820,518747,230704,150557,324
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,432456,112260,487441,57275,969716,56046,27097,18228,443345,238359,305751,67087,102343,141703,381988,126920,177453,175370,219200,150120,233402,41366,875531,428101,210307,493
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,224642,65322,204178,85786,799299,104237,55278,6023,124426,15593,96309,935,10499,187398,36237,125261,135842,67299,41836,22265,12453,5527,790930,186916,110688,729
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,476933,102296,495316,83913,1230504,27705,29288,32286,489950,258422,333171,43437,82673,87700,382981,137902,220384,198551,282666,178846,259933,27864,1095602,481318,231029,1784
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,241464,68099,216932,92631,733145,91506,60685,8566,148806,46498,132606,4283,16736,186069,63090,125474,142156,113940,102626,65963,43780,8373,684189,224043,133913,563
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,1022419,166126,1135126,53419,2467994,11433,13289,35896,1127927,625662,720900,114044,188876,67592,959275,228507,571255,607092,613393,519808,465677,22436,2138591,1013424,503055,1469
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,257575,38871,283583,12863,591532,2187,1791,11028,281440,161067,174310,21418,40543,4512,296559,58952,133915,142788,126121,97744,107099,11098,506601,256501,124513,363
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,594353,67033,622443,38943,1580238,2235,2406,30738,626007,356769,391951,30390,69417,5326,482255,206524,500493,488767,341540,212438,122983,9199,1393078,581016,264663,2867
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,486951,92741,555026,24666,1129654,1156,3094,19541,555901,327253,352758,80037,127465,1086,461132,86484,219061,260094,267825,235187,246988,18644,948963,497157,262124,1102
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,46940,12601,56471,3070,82463,121,275,1030,58115,26681,30023,7366,11948,0,52664,4641,11728,15326,15942,17742,23934,2186,76076,43913,21773,242
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,177621,29753,195978,11396,374946,597,601,10902,195274,101826,113399,19724,30627,0,194897,34122,80924,96755,83244,62124,80251,6097,317650,169533,94448,689
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,732598,141722,839621,34699,1668923,2952,4358,29022,837988,475985,520282,109666,171002,1809,699703,157606,318376,365913,369114,327114,440295,54376,1399165,732515,408953,2610
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,667977,127375,749995,45357,1497606,9733,7753,18614,759252,423855,457784,94853,156635,41179,606503,152945,255177,313817,335645,308513,400800,47723,1296955,683209,308675,4119
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,775592,148801,869086,55307,1807536,2984,5908,25081,890420,504898,549402,111453,176435,2918,728145,191659,368772,400595,430091,354078,458858,52503,1588001,785085,355602,3241
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,596320,316352,680563,232109,1056496,268297,230438,13790,400147,88543,283142,6295,24901,397697,164897,237042,314107,238397,163098,105734,104071,19396,1167889,502211,283484,15584
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,512802,322458,642109,193151,939432,370452,166833,13839,284136,55515,243163,3360,16217,389059,108694,239601,273441,219194,153628,104087,84185,14416,1058044,453114,242361,21173
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,640572,345636,752768,233440,1377729,499223,103833,26244,356908,108812,220793,7607,29531,335754,196179,410155,333211,254335,143669,80296,101714,18577,1543867,517271,288165,14634
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,541404,361425,628381,274448,1136718,572644,87983,16594,225608,74197,231696,2577,15259,344897,148996,336671,302022,237220,161520,100677,77282,13320,1293193,458725,272176,15453
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,541392,353257,592813,301836,1242396,521692,68878,13472,290607,131987,297559,4828,24178,500452,150357,296093,305626,301866,256621,192240,158936,25286,1298780,494124,330126,14015
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,123478,485723,9750,45770,782294,212967,492781,492981,468628,324050,230415,222622,31390,2346721,836000,490137,1321
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,647198,423956,694929,376225,1477308,500994,238894,25068,306198,61113,288723,4179,26106,479437,129697,363676,330336,314953,211938,147520,132571,23311,1659515,546362,329127,13458
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,339110,184102,317617,205595,683304,229936,74342,12721,206213,24561,96086,1330,9504,214670,58626,207566,172914,132964,77360,45590,37856,8194,815651,248416,141365,1084
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,371058,257668,438337,190389,829522,335302,115367,9521,168536,28296,132079,1059,13045,305047,59308,220644,193938,170399,104208,69443,67639,14402,947173,310688,192042,8345
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,343802,234266,418555,159513,757483,313358,88804,12070,163836,40116,140947,1887,14310,282057,71264,205450,172925,151108,87349,57625,70870,14384,841697,309237,183234,1383
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,398151,286344,506214,178281,949914,390960,76277,17185,200073,35600,195277,1719,14539,361084,59610,229035,235474,208537,135234,92559,90833,13764,1047136,358718,210117,18438
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,1714947,749946,2060010,404883,4161285,744374,131523,91011,1497985,570997,990085,76565,182350,754841,977838,819004,875940,823570,659389,455527,703673,96562,4091148,1646480,884057,4493
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,657854,348650,698711,307793,1670829,501311,87889,22776,394528,131342,339457,5647,28382,527560,178274,369959,438872,367412,282595,200430,181282,19321,1672813,605002,381226,18292
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,857031,568851,985927,439955,1881861,734614,263401,29647,398220,97267,347344,4449,35328,675712,166489,513871,486057,388822,242053,147701,117444,14853,2088323,754143,463469,1808
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,965103,524638,1056479,433262,2197424,592370,242017,42412,612942,197135,408808,19335,54808,584215,307442,497762,512035,405132,259304,154789,177199,30720,2359786,836322,489280,1777
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,182565,106338,175383,113520,381016,132466,43872,6835,105730,12431,43141,754,7416,159117,30830,109484,71132,41264,20142,12759,10604,1720,448969,140294,79977,679
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,696240,506242,741367,461115,1401269,754260,132696,30565,284961,39580,126494,2766,37730,542825,55980,406804,352636,219932,101291,52272,39533,7328,1731122,527629,326476,18524
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,494906,401738,660719,235925,932086,493355,158013,21867,223409,39745,161845,1585,12794,419216,48202,270997,277152,181691,75304,32366,25210,7850,1176496,390598,249379,12257
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,272196,147633,313292,106537,616517,124080,97823,9443,188483,47182,134089,2146,10297,238535,69639,117971,147381,110385,58213,30724,27076,5251,649290,244401,142251,404
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,523077,319250,605288,237039,1195246,243491,237280,26119,335437,94821,326793,4043,19270,512909,139808,293818,359329,271312,144581,71472,67021,9403,1207983,467436,343384,18770
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,686149,367573,827181,226541,1529330,298856,145523,35602,573741,171799,393498,13499,41732,409335,274919,379043,394576,313680,200191,130608,172683,28138,1561077,629951,388040,3984
